"node","total_degree"
"R-SSC-3000171","3"
"R-GGA-2142850","3"
"R-DRE-8964038","3"
"R-SCE-69615","3"
"R-RNO-453276","3"
"R-SPO-8847453","3"
"R-HSA-2408552","3"
"R-DME-193697","3"
"R-GGA-1474165","3"
"R-DRE-416550","3"
"R-GGA-68689","3"
"R-GGA-187015","3"
"C537922","3"
"R-DRE-2179392","3"
"R-CFA-532668","3"
"R-SSC-5654700","3"
"R-CFA-5358346","3"
"R-DRE-111457","3"
"R-DRE-69052","3"
"R-DDI-8848584","3"
"C535338","3"
"R-GGA-2172127","3"
"R-BTA-977444","3"
"R-SPO-453274","3"
"R-BTA-68881","3"
"R-SSC-416550","3"
"R-DME-1852241","3"
"R-BTA-1852241","3"
"R-DRE-139853","3"
"R-GGA-1482925","3"
"MIM:261650","3"
"R-DRE-453274","3"
"R-CEL-429593","3"
"C567053","3"
"R-CEL-75896","3"
"SMP0000745","3"
"R-HSA-5619047","3"
"MIM:614081","3"
"R-SSC-351906","3"
"R-SPO-69306","3"
"R-GGA-390471","3"
"R-SCE-8963743","3"
"R-CEL-9006927","3"
"R-GGA-140875","3"
"R-CEL-9840373","3"
"R-CEL-73886","3"
"R-CEL-8964572","3"
"R-CEL-190828","3"
"R-SCE-351143","3"
"R-CFA-209952","3"
"R-BTA-2408508","3"
"R-CEL-163359","3"
"R-DME-9018682","3"
"R-XTR-190322","3"
"R-DME-1855167","3"
"R-CFA-6807004","3"
"R-SCE-9023661","3"
"R-SSC-8866904","3"
"R-SCE-110330","3"
"R-PFA-198725","3"
"R-MTU-879235","3"
"R-BTA-112307","3"
"R-DRE-416572","3"
"R-SSC-5696397","3"
"R-CFA-6805567","3"
"R-HSA-3282872","3"
"R-XTR-2173782","3"
"R-SCE-196108","3"
"R-DME-3215018","3"
"R-PFA-168138","3"
"R-GGA-5140745","3"
"R-DRE-5620971","3"
"R-DRE-176417","3"
"R-SSC-5654706","3"
"C531609","3"
"C563990","3"
"R-PFA-453279","3"
"R-GGA-111931","3"
"R-PFA-6803157","3"
